Model year,Make,Model,Trim,Fuel Type, Incentive for Purchase or 48 month Lease , Incentive for 12 month Lease , Incentive for 24 month Lease , Incentive for 36 month Lease ,Eligibility date
2021,Nissan,Leaf,SL Plus,BEV,"$5,000","$1,250","$2,500","$3,750",2020-11-20
2020,Nissan,Leaf,S,BEV,"$5,000","$1,250","$2,500","$3,750",2020-01-09
2020,Nissan,Leaf,SV,BEV,"$5,000","$1,250","$2,500","$3,750",2020-01-09
2020,Nissan,Leaf,S Plus,BEV,"$5,000","$1,250","$2,500","$3,750",2020-01-09
2020,Nissan,Leaf,SV Plus,BEV,"$5,000","$1,250","$2,500","$3,750",2020-01-09
2020,Nissan,Leaf,SL Plus,BEV,"$5,000","$1,250","$2,500","$3,750",2020-01-09
2018,Nissan,Leaf,S,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018,Nissan,Leaf,SV,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018,Nissan,Leaf,SL,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018,Nissan,Leaf,S Plus,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018,Nissan,Leaf,SV Plus,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018,Nissan,Leaf,SL Plus,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2024,Polestar,Two,LRSM LRDM,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-29
2023,Polestar,Two,LRSM,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2023,Polestar,Two,LRDM,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Polestar,Two,LRSM,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Polestar,Two,LRDM,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2023,Subaru,Crosstrek Plug-In Hybrid,Limited,PHEV,"$2,500",$625,"$1,250","$1,875",2022-08-12
2023,Subaru,Solterra,AWD,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-28
2022,Subaru,Crosstrek Plug-In Hybrid,Limited,PHEV,"$2,500",$625,"$1,250","$1,875",2022-01-17
2021,Subaru,Crosstrek Plug-In Hybrid,Limited,PHEV,"$2,500",$625,"$1,250","$1,875",2020-11-10
2020,Subaru,Crosstrek Plug-In Hybrid,Limited,PHEV,"$2,500",$625,"$1,250","$1,875",2020-01-08
2023,Tesla,Model 3,Long Range AWD Import,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-11
2023,Tesla,Model 3,RWD,BEV,"$5,000","$1,250","$2,500","$3,750",2023-01-13
2023,Tesla,Model Y,RWD,BEV,"$5,000","$1,250","$2,500","$3,750",2023-04-21
2023,Tesla,Model Y,Long Range AWD,BEV,"$5,000","$1,250","$2,500","$3,750",2023-04-21
2023,Tesla,Model Y,Long Range AWD Import,BEV,"$5,000","$1,250","$2,500","$3,750",2023-06-01
2023,Toyota,Mirai,XLE,FCEV,"$5,000","$1,250","$2,500","$3,750",2023-02-02
2023,Toyota,Prius Prime,SE,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-04-13
2023,Toyota,Prius Prime,XSE,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-04-13
2023,Toyota,Prius Prime,XSE Premium,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-04-13
2023,Toyota,RAV4 Prime,SE,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-11-05
2023,Toyota,RAV4 Prime,XSE,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-11-05
2023,Toyota,RAV4 Prime,XSE Technology,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-11-05
2023,Toyota,bZ4X,L FWD,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-28
2023,Toyota,bZ4X,LE FWD,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-28
2023,Toyota,bZ4X,XLE AWD,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-28
2023,Toyota,bZ4X,XLE AWD Tech Package,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-28
2022,Toyota,Mirai,XLE,FCEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Toyota,Prius Prime,Base,PHEV,"$2,500",$625,"$1,250","$1,875",2021-06-22
2022,Toyota,Prius Prime,Technology,PHEV,"$2,500",$625,"$1,250","$1,875",2021-06-22
2022,Toyota,RAV4 Prime,SE,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-01-21
2022,Toyota,RAV4 Prime,XSE,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-01-21
2021,Toyota,Prius Prime,Base,PHEV,"$2,500",$625,"$1,250","$1,875",2020-07-20
2021,Toyota,Prius Prime,Upgrade,PHEV,"$2,500",$625,"$1,250","$1,875",2020-07-20
2021,Toyota,RAV4 Prime,SE,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-08-12
2021,Toyota,RAV4 Prime,XSE,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-08-12
2020,Toyota,Prius Prime,Base,PHEV,"$2,500",$625,"$1,250","$1,875",2019-06-06
2020,Toyota,Prius Prime,Upgrade,PHEV,"$2,500",$625,"$1,250","$1,875",2019-06-06
2020,Toyota,Prius Prime,Technology,PHEV,"$2,500",$625,"$1,250","$1,875",2019-06-06
2018,Toyota,Prius Prime,Base,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2018,Toyota,Prius Prime,Upgrade,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2018,Toyota,Prius Prime,Technology,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2023,VinFast,VF8,ECO,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-23
2023,VinFast,VF8,PLUS,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-23
2023,VinFast,VF8,PLUS (Performance),BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-23
2023,Volkswagen,ID.4,RWD,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-03
2023,Volkswagen,ID.4,Pro RWD,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-03
2023,Volkswagen,ID.4,Pro AWD,BEV,"$5,000","$1,250","$2,500","$3,750",2022-10-03
2022,Volkswagen,ID.4,Pro,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Volkswagen,ID.4,AWD Pro,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2021,Volkswagen,ID.4,Pro,BEV,"$5,000","$1,250","$2,500","$3,750",2021-03-30
2021,Volkswagen,ID.4,AWD Pro,BEV,"$5,000","$1,250","$2,500","$3,750",2021-03-30
2020,Volkswagen,e-Golf,Comfortline,BEV,"$5,000","$1,250","$2,500","$3,750",2019-10-17
2019,Volkswagen,e-Golf,Comfortline,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017,Volkswagen,e-Golf,Comfortline,BEV,"$5,000","$1,250","$2,500","$3,750",2019-09-16
2024,Volvo,C40 Recharge,Single Motor,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-17
2024,Volvo,C40 Recharge,Twin Motor,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-17
2024,Volvo,S60,Recharge,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-06-12
2024,Volvo,XC40 Recharge,Single Motor,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-17
2024,Volvo,XC40 Recharge,Twin Motor,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-17
2023,Volvo,C40,Recharge,BEV,"$5,000","$1,250","$2,500","$3,750",2022-08-16
2023,Volvo,V60,Recharge,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-09-13
2023,Volvo,XC40,Recharge,BEV,"$5,000","$1,250","$2,500","$3,750",2022-08-16
2022,Volvo,V60 Recharge,R Design (Extended Range),PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Volvo,XC40 Recharge,R Design (Extended Range),BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2018,smart,EQ fortwo cabriolet,R Design (Extended Range),BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018,smart,EQ fortwo coupe,R Design (Extended Range),BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017,smart,fortwo electric drive cabriolet,R Design (Extended Range),BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2017,smart,fortwo electric drive coupe,R Design (Extended Range),BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
