Model year,Make,Model,Trim,Fuel Type, Incentive for Purchase or 48 month Lease , Incentive for 12 month Lease , Incentive for 24 month Lease , Incentive for 36 month Lease ,Eligibility date
2023,Hyundai,IONIQ 6,Preferred RWD Long Range,BEV,"$5,000","$1,250","$2,500","$3,750",2023-04-03
2023,Hyundai,IONIQ 6,Preferred AWD Long Range,BEV,"$5,000","$1,250","$2,500","$3,750",2023-04-03
2023,Hyundai,Kona Electric,Preferred,BEV,"$5,000","$1,250","$2,500","$3,750",2022-07-22
2023,Hyundai,Kona Electric,Preferred - 2 tone,BEV,"$5,000","$1,250","$2,500","$3,750",2022-07-22
2023,Hyundai,Kona Electric,Ultimate,BEV,"$5,000","$1,250","$2,500","$3,750",2022-07-22
2023,Hyundai,Santa Fe PHEV,Luxury,PHEV,"$5,000","$1,250","$2,500","$3,750",2023-03-05
2023,Hyundai,Tucson PHEV,Luxury PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-08-30
2023,Hyundai,Tucson PHEV,Ultimate PHEV,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-08-30
2022,Hyundai,Santa Fe PHEV,Preferred,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Hyundai,Santa Fe PHEV,Luxury,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Hyundai,Tucson PHEV,Luxury,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Hyundai,Tucson PHEV,Ultimate,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
